,code,fromv,tov
161,4210,Postage,Postage
162,4210,Salary - Part Time,Salary - Part Time
163,4210,Police Details,Police Details
164,4210,Fuel,Fuel
165,4210,Salary - Police Chief,Salary - Police Chief
166,4220,EMS Contract,EMS Contract
167,4220,Telephone,Telephone
168,4220,Expenses/Supplies,Expenses & Supplies
169,4220,New Equipment,New Equipment
170,4220,Medical Supplies,Medical Supplies
171,4220,Radio,Radio
172,4220,Disease Prevention,Disease Prevention
173,4220,Training,Training
174,4220,Secretary,Secretary
175,4220,Truck/Equipment Maintence,Truck/Equipment Maintenance
176,4220,Mutual Aid Dues,Mutual Aid Dues
177,4220,Mileage,Mileage
178,4220,Background Checks,Background Checks
179,4220,TOTAL,TOTAL
180,4220,Daytime coverage,Daytime coverage
181,4220,Truck/Equipment Maint,Truck/Equipment Maintenance
182,4220,Fire Prevention,Fire Prevention
183,4220,Fuel,Fuel
184,4220,Member Pay,Member Pay
185,4290,##2019 did not have a breakdwn just bottom line charge.,##2019 did not have a breakdwn just bottom line charge.
186,4290,TOTAL,TOTAL
187,4290,"Equipment Purchase, Repair & Maint.",Equipment Purchase Repair & Maint
188,4290,Mailing,Mailing
189,4290,Training & Fire Prevention,Training & Fire Prevention
190,4290,Mileage,Mileage
191,4290,Firefighter Reimbursement,Firefighter Reimbursement
192,4290,Mileage Reimbursement,Mileage Reimbursement
193,4290,Generator Maintenance,Generator Maintenance
194,4312,Winter Road Material,Winter Road Material
195,4312,Roadside Mowing & Clearing,Roadside Mowing & Clearing
196,4312,Winter Roads - Materials,Winter Roads - Materials
197,4312,TOTAL,TOTAL
198,4312,Road Reconstruction,Road Reconstruction
199,4312,Road Contractor,Road Contractor
200,4312,Warrant Article #23 Road Reconstruction,Warrant Article #23 Road Reconstruction
201,4312,Materials,Materials
202,4312,Signs & Equipment,Signs & Equipment
203,4312,Calcium Chloride,Calcium Chloride
204,4312,Roadside Mowing/Clearing,Roadside Mowing & Clearing
205,4312,Tree Removal,Tree Removal
206,4312,Crack Sealing,Crack Sealing
207,4312,Winter Road Contract,Winter Roads Contract
208,4312,Winter Roads - Contract,Winter Roads Contract
209,4313,Bridge Maintence,Bridge Maintence
210,4313,TOTAL,TOTAL
211,4316,Street Lighting     (25 total),Street Lighting     (25 total)
212,4316,TOTAL,TOTAL
213,4323,Repairs/Maintenance,Repairs & Maintenance
214,4323,Telephone,Telephone
215,4323,TOTAL,TOTAL
216,4323,Salaries,Salaries
217,4323,Mileage,Mileage
218,4323,Household Hazardous Waste Day,Household Hazardous Waste Day
219,4323,Supplies,Supplies
220,4323,Certifications,Certifications
221,4323,Repairs & Maintenance,Repairs & Maintenance
222,4324,TOTAL,TOTAL
223,4324,Used Oil,Used Oil
224,4324,Electronics,Electronics
225,4324,Tires,Tires
226,4324,Glass,Glass
227,4324,Misc.,Misc.
228,4324,Total Other,Total Other
229,4324,Containers - Other,Containers - Other
230,4324,Freon,Freon
231,4324,Containers,Containers
232,4324,Metal,Metal
233,4324,Containers - Other (below),Containers - Other
234,4325,Land Fill Monitoring,Land Fill Monitoring
235,4325,TOTAL,TOTAL
236,4325,PFAS Testing,PFAS Testing
237,4414,Animal Control Officer,Animal Control Officer
238,4414,Animal Control Office,Animal Control Officer
239,4414,Humane Society Fees,Humane Society Fees
240,4414,TOTAL,TOTAL
241,4414,Human Society Fees,Humane Society Fees
242,4414,Equipment & Supplies,Equipment & Supplies
243,4415,Ossipee Children’s Fund,Ossipee Childrens Fund
244,4415,Northern Human Services,Northern Human Services
245,4415,TOTAL,TOTAL
246,4415,White Horse Addiction Center,White Horse Addiction Center
247,4415,VNA - Hospice,VNA - Hospice
248,4415,Childrens Unlimited,Childrens Unlimited
249,4415,Freedom Food Pantry,Freedom Food Pantry
250,4415,White Mtn Community Health,White Mountain Community Health
251,4415,Tri - County Community Action,Tri - County Community Action
252,4415,Starting Point,Starting Point
253,4415,White Mountain Community Health,White Mountain Community Health
254,4415,Tr - County Community Health,Tri - County Community Health
255,4415,Ossipee Childrens Fund,Ossipee Childrens Fund
256,4415,Children’s Unlimited,Childrens Unlimited
257,4415,Red Cross,Red Cross
258,4442,Adminstrative,Adminstrative
259,4442,Assistance,Assistance
260,4442,TOTAL,TOTAL
261,4445,Meals on Wheels,Meals on Wheels
262,4445,TOTAL,TOTAL
263,4520,Town of Ossipee,Town of Ossipee
264,4520,**10k added frm last year bill not paid,**10k added frm last year bill not paid
265,4520,TOTAL,TOTAL
266,4550,Telephone,Telephone
267,4550,Office Equipment & Supplies,Office Equipment & Supplies
268,4550,Contracted Services,Contracted Services
269,4550,Librarian Asst. Salary,Salary - Asst. Librarian
270,4550,Salary - Asst. Librarian,Salary - Asst. Librarian
271,4550,Librarian Assistant,Salary - Asst. Librarian
272,4550,Operating Expenses,Operating Expenses
273,4550,Books & Publications,Books & Publications
274,4550,Librarian,Salary - Librarian
275,4550,Workshops & Seminars,Workshops & Seminars
276,4550,Service/Bank Fee,Service/Bank Fee
277,4550,Technology,Technology
278,4550,Salary - Librarian,Salary - Librarian
279,4550,Association Dues,Association Dues
280,4550,TOTAL,TOTAL
281,4550,Program Expenses,Program Expenses
282,4550,Operating Expense (detailed below),Operating Expense (detailed below)
283,4550,Postage,Postage
284,4550,Contract Services,Contract Services
285,4550,Total Salaries,Total Salaries
286,4583,TOTAL,TOTAL
287,4583,Patriotic Purposes,Patriotic Purposes
288,4611,*Poster Contest,Poster Contest
289,4611,Office Supplies/Stationary,Office Supplies/Stationary
290,4611,EarthDay,Earth Day
291,4611,Workshops,Workshops
292,4611,*Office Supplies/Stationary,Office Supplies/Stationary
293,4611,*Summer Environmental Camp,Summer Environmental Camp
294,4611,*Land Improvements,Land Improvements
295,4611,Summer Environmental Camp,Summer Environmental Camp
296,4611,Land Improvements,Land Improvements
297,4611,Association Dues/NHACC,Association Dues/NHACC
298,4611,*Events & Educational,Events & Educational
299,4611,*Total above,*Total above
300,4611,*PLA Lake Host Programs,PLA Lake Host Programs
301,4611,Events & Educational,Events & Educational
302,4611,*Earth Day,Earth Day
303,4611,Water Testing,Water Testing
304,4611,Future Land Purchases,Future Land Purchases
305,4611,Mileage,Mileage
306,4611,Poster Contest,Poster Contest
307,4611,PLA Lake Host Programs,PLA Lake Host Programs
308,4611,TOTAL,TOTAL
309,4611,*Workshops,*Workshops
310,4611,Summer Enviromental Camp,Summer Environmental Camp
311,4611,*Water Testing,Water Testing
312,4611,Earth Day,Earth Day
313,4611,*Association Dues/NHACC,Association Dues/NHACC
314,4619,TOTAL,TOTAL
315,4619,Services,Services
316,4711,TOTAL,TOTAL
317,4711,Debt Service,Debt Service
318,4723,TAN Interest,TAN Interest
319,4723,TOTAL,TOTAL
320,4915,&Transfer/Recycling,&Transfer/Recycling
321,4915,##from CRF no tax impact,##from CRF no tax impact
322,4915,Transfer/Recycling,Transfer/Recycling
323,4915,TOTAL,TOTAL
324,4915,TAX IMPACT TOTAL,TAX IMPACT TOTAL
325,4915,Police Cruiser,Police Cruiser
326,4915,**Accept funds no add. cost,**Accept funds no add. cost
327,4915,**Parsonfield Mutual Aid,**Parsonfield Mutual Aid
328,4915,Fire Truck/Equipment,Fire Truck/Equipment
329,4915,##Purchase Cruiser,##Purchase Cruiser
330,4915,"$2,000 UFB","$2,000 UFB"
331,4915,Planning Land Use C.I.P.,Planning Land Use C.I.P.
332,4915,UFB=unassigned fund balance,UFB=unassigned fund balance
333,4915,Parsonsfield Mutual Aid,Parsonsfield Mutual Aid
334,4915,#Police Cruiser,#Police Cruiser
335,4915,"#15,000 UFB","#15,000 UFB"
336,4915,Voting Machine,Voting Machine
337,4916,##Emerg. Mgmt Generator replace.,##Emerg. Mgmt Generator replace.
338,4916,Total,Total
339,4916,##Bridge Maint,##Bridge Maint
340,4916,##Police Safety Gear,##Police Safety Gear
341,4916,Police Safety Gear,Police Safety Gear
342,4916,TAX IMPACT TOTAL,TAX IMPACT TOTAL
343,4916,Historic Town Hall,Historic Town Hall
344,4916,##Library,##Library
345,4916,Library,Library
346,4916,##Municipal Electronic Equipment,##Municipal Electronic Equipment
347,4916,## UFB=unassigned fund balance,## UFB=unassigned fund balance
348,4916,##Fire Department Equipment,##Fire Department Equipment
349,4916,TOTAL TAX IMPACT,TOTAL TAX IMPACT
350,4916,Municipal Electronic Equipment,Municipal Electronic Equipment
351,4916,##Aquatic,##Aquatic
352,4916,##Voting Machine,##Voting Machine
353,4916,##Planning Land Use C.I.P.,##Planning Land Use C.I.P.
354,4916,Municipal Buildings,Municipal Buildings
355,4Art,18,18
356,4Art,13,13
357,4Art,19,19
358,4Art,16,16
359,4Art,??,??
360,4Art,15/20,15/20
361,4Art,17,17
